,0,1,2,3
229,229.0,"1185,457,1185,457","70.754955774,317.187626946,70.754955774,317.187626946","2,2,1,1"
230,230.0,"7,225","79.0493738221,265.348541189","4,4"
231,231.0,"1246,712","833.729119415,640.028702851","3,3"
232,232.0,"152,861,152,861,152,861,152,861","209.478441081,117.697649426,209.478441081,117.697649426,209.478441081,117.697649426,209.478441081,117.697649426","2,2,1,1,2,2,2,2"
233,233.0,"1023,1096,1023,1096,1023,1096,1023,1096","3.00288053514,8.91891458252,3.00288053514,8.91891458252,3.00288053514,8.91891458252,3.00288053514,8.91891458252","2,2,1,1,2,2,2,2"
234,234.0,"1365,834","31.5443196474,14.9373804919","1,3"
235,235.0,"905,412","1.12997955389,18.2712406568","1,1"
236,236.0,"109,378,891,969","1491.95219774,1201.48381396,1071.25796464,5592.27871246","3,3,3,3"
237,237.0,"1380,764,1389","51.074095623,476.767719427,55.2258597191","3,3,3"
238,238.0,"357,812","38.2110703094,39.837106135","1,1"
239,239.0,"739,880","11.455636484,56.3962642887","1,1"
240,240.0,"1342,985","322.088625529,168.392817115","1,1"
241,241.0,"1297,1338","39.7156132642,72.4487460391","1,1"
242,242.0,"396,989,396,989","49.0382651864,90.4421998777,49.0382651864,90.4421998777","1,1,2,2"
243,243.0,"952,1381","49.6557559536,141.400699347","1,1"
244,244.0,"1369,366,1369,366","2.43539279315,1.26850551929,2.43539279315,1.26850551929","1,1,2,2"
245,245.0,"847,486","66.0288680029,42.6971299792","1,1"
246,246.0,"37,1283,37,1283,37,1283,37,1283","59.2020787382,74.1734017375,59.2020787382,74.1734017375,59.2020787382,74.1734017375,59.2020787382,74.1734017375","2,2,1,1,2,2,2,2"
247,247.0,"912,512,912,512,1433,912,512,912,512","34.3894744918,12.0931752459,34.3894744918,12.0931752459,27.1946999177,34.3894744918,12.0931752459,34.3894744918,12.0931752459","2,2,1,1,3,2,2,2,2"
248,248.0,"600,449,719,600,1078,719,600,449,719,600,449","101.869612934,206.018930043,41.8261020153,101.869612934,11.632122022,41.8261020153,101.869612934,206.018930043,41.8261020153,101.869612934,206.018930043","2,2,1,1,1,2,2,2,2,2,2"
249,249.0,"1146,54","23.2340941994,3.5873732249","3,3"
250,250.0,"290,383","82.2815677351,79.4546508672","1,1"
251,251.0,"483,1299","155.605063714,243.930249296","1,1"
252,252.0,"889,405","44.5479398996,53.0019136536","1,1"
253,253.0,"1348,649,1348,649,1348,649,1348,649","96.1820165163,58.1153988329,96.1820165163,58.1153988329,96.1820165163,58.1153988329,96.1820165163,58.1153988329","2,2,1,1,2,2,2,2"
